edge_id,model,hard_detected,soft_detected,direction_correct,detection_rate,mean_jsd,median_jsd,jsd_ci_lower,jsd_ci_upper,omnibus_significant
S129,qwen3-next-80b-instruct,False,True,False,0.5,0.6931471782959896,0.6931471782959896,0.0,0.0,True
S88,qwen3-next-80b-instruct,False,False,True,0.2,0.08379990593458195,0.06155537758061838,0.0315359090717112,0.15950105419861588,False
S84,qwen3-next-80b-instruct,False,True,False,0.25,0.10087000056908405,0.0682185690757334,0.04316245225351731,0.19122898037800146,False
S111R,qwen3-next-80b-instruct,False,True,False,0.25,0.10087000056908405,0.0682185690757334,0.04316245225351731,0.19122898037800146,False
S89,qwen3-next-80b-instruct,False,False,True,0.0,0.015519527396573599,0.015519527396573599,0.0,0.0,False
S13,qwen3-next-80b-instruct,False,False,True,0.0,0.06770798546829385,0.08070985785108536,0.03723044896262212,0.0924986534325168,False
S75R,qwen3-next-80b-instruct,False,False,True,0.0,0.0807550999862239,0.0844423415182071,0.06060783437487792,0.0972151240655867,False
S20R,qwen3-next-80b-instruct,False,False,False,0.0,0.04191294290431206,0.04859279214962665,0.002264276968763166,0.07488175959454635,False
S74R,qwen3-next-80b-instruct,False,False,True,0.0,0.06266515206802656,0.06266515206802656,0.0,0.0,False
S21,qwen3-next-80b-instruct,False,False,False,0.0,0.043615546934776386,0.04859279214962665,0.01394433092138609,0.06830951773331642,False
S5R,mistral-small-24b,False,False,True,0.1111111111111111,0.12154743643365498,0.04859279118770867,0.04985904386333981,0.21633924885785932,False
S22,mistral-small-24b,False,False,True,0.0,0.08498812008376025,0.05226048036494477,0.02249293563456689,0.1474833045329536,False
S23R,mistral-small-24b,False,True,True,0.1,0.13649524612143377,0.08879932002063445,0.07699563008694628,0.20679621758057687,True
S4R,mistral-small-24b,False,True,True,0.15384615384615385,0.1598209341882715,0.10271687947042048,0.08381893997483093,0.24688468125641994,True
S28,mistral-small-24b,False,True,True,0.1,0.12467993424093533,0.07029014283578061,0.06789179225299746,0.1917599725617225,True
SA2,mistral-small-24b,False,False,True,0.0,0.07584845714765559,0.04380187388803451,0.012973028334700137,0.13953581350780137,False
S8,mistral-small-24b,False,False,True,0.0,0.06245441597157336,0.0465230878776042,0.028644660188244513,0.10137530751435885,False
S6R,mistral-small-24b,False,False,True,0.0,0.051154644312014455,0.02372233017593074,0.03272694036777264,0.07676814313277885,False
S80,mistral-small-24b,False,False,True,0.0,0.04589533729538011,0.02390409676614446,0.03300960750018295,0.0628749907616519,False
S7R,mistral-small-24b,False,False,True,0.0,0.057030894750232326,0.04859279118770867,0.04436182175757509,0.06997238466744561,False
S14,mistral-small-24b,False,False,True,0.0,0.04854110102170702,0.03469822622928229,0.029048721364185275,0.07910695509724341,False
S27,mistral-small-24b,False,False,True,0.0,0.061171990143229556,0.041213354372561004,0.03669549357444191,0.09005765477125272,False
S45,mistral-small-24b,False,True,True,0.25,0.0990850731826772,0.0361575606818197,0.023701030895300748,0.2311896623582817,False
S46,mistral-small-24b,False,False,True,0.14285714285714285,0.09446970204186536,0.04859279118770867,0.028687902666034326,0.200144853670097,False
S40R,mistral-small-24b,False,True,True,0.25,0.0990850731826772,0.0361575606818197,0.023701030895300748,0.2311896623582817,False
S41R,mistral-small-24b,False,True,True,0.25,0.0990850731826772,0.0361575606818197,0.023701030895300748,0.2311896623582817,False
S49R,mistral-small-24b,False,True,True,0.25,0.0990850731826772,0.0361575606818197,0.023701030895300748,0.2311896623582817,False
S16R,mistral-small-24b,False,True,True,0.25,0.10008860672395273,0.061737275391127514,0.0361575606818197,0.20201635725014605,False
S39R,mistral-small-24b,False,False,True,0.1111111111111111,0.09592564992473301,0.05599336421812884,0.05137421687111894,0.14971542973846833,False
S42R,mistral-small-24b,False,False,True,0.2,0.0881962686807219,0.04859279118770867,0.03545825691103348,0.17161534551667051,False
S17R,mistral-small-24b,False,True,True,0.14285714285714285,0.15060012357178643,0.11922954180019608,0.07878349587478661,0.2415907934868464,True
S18R,mistral-small-24b,False,True,True,0.14285714285714285,0.15060012357178643,0.11922954180019608,0.07878349587478661,0.2415907934868464,True
S10R,mistral-small-24b,False,False,True,0.0,0.08940408827934351,0.0697253081745168,0.05631108505910154,0.1274442782682465,False
S9R,mistral-small-24b,False,True,True,0.0,0.09406514305891643,0.07908144849706399,0.06480623310678674,0.136296046991083,True
S24R,mistral-small-24b,False,False,True,0.0,0.09396654162401906,0.07600821747861797,0.05272458430180144,0.15316682309163776,False
S12,mistral-small-24b,False,False,True,0.0,0.05450405733883191,0.022335141553578124,0.01566228357594994,0.12013854519827953,False
S43,mistral-small-24b,False,False,True,0.0,0.050756270574411136,0.02415725678117136,0.01919282936117618,0.10321913507366771,False
S112,mistral-small-24b,False,False,True,0.0,0.15907836346010962,0.061769931830238524,0.02791169480895292,0.38755346374113736,False
S19R,mistral-small-24b,False,True,False,0.0,0.06181395494392562,0.05599336421812884,0.050413032366366024,0.07492406157627883,True
S115,mistral-small-24b,False,False,False,0.0,0.050628723567906736,0.043433719932533844,0.04131031778800735,0.06132389439499107,False
S38R,mistral-small-24b,False,False,True,0.0,0.16146121088416246,0.16146121088416246,0.0,0.0,False
S15R,mistral-small-24b,False,False,True,0.0,0.03453136710292417,0.038852971714732724,0.006280726380354467,0.05846040321368532,False
S68R,mistral-small-24b,False,True,True,0.3333333333333333,0.2911410428034106,0.13337672495818353,0.20429063121878768,0.38884153971488755,True
S52R,mistral-small-24b,False,True,True,0.3235294117647059,0.2832745336508006,0.12254607098603416,0.1936604943579544,0.3739819327983209,True
S72R,mistral-small-24b,False,True,True,0.3333333333333333,0.2911410428034106,0.13337672495818353,0.20429063121878768,0.38884153971488755,True
S69R,mistral-small-24b,False,True,False,0.18181818181818182,0.19507357062132458,0.1290038874633629,0.08516032631169551,0.34240798554667745,True
S77R,mistral-small-24b,False,True,True,0.25,0.286988526369392,0.2155635983118407,0.07852822828642714,0.5532045641689576,False
S70,mistral-small-24b,True,True,False,1.0,0.3672001736250796,0.3672001736250796,0.0,0.0,False
S67,mistral-small-24b,False,True,False,0.16666666666666666,0.1755227353606826,0.0894818383766456,0.041092164090122556,0.39683498646091236,True
S73R,mistral-small-24b,False,True,False,0.16666666666666666,0.1755227353606826,0.0894818383766456,0.041092164090122556,0.39683498646091236,True
S55R,mistral-small-24b,False,False,True,0.0,0.06308455046127348,0.06297079538719338,0.036136261401189716,0.09003283952135725,False
S116,mistral-small-24b,False,False,True,0.0,0.06308455046127348,0.06297079538719338,0.036136261401189716,0.09003283952135725,False
S119R,mistral-small-24b,False,False,True,0.0,0.07400731814643927,0.06297079538719338,0.04209508138378478,0.11537326236523922,False
S31R,mistral-small-24b,False,False,True,0.0,0.06308455046127348,0.06297079538719338,0.036136261401189716,0.09003283952135725,False
S120R,mistral-small-24b,False,False,True,0.0,0.06308455046127348,0.06297079538719338,0.036136261401189716,0.09003283952135725,False
S30,mistral-small-24b,False,False,True,0.0,0.06308455046127348,0.06297079538719338,0.036136261401189716,0.09003283952135725,False
